000612,sz000612,焦作万方
000613,sz000613,ST东海Ａ
000615,sz000615,湖北金环
000616,sz000616,亿城股份
000617,sz000617,石油济柴
000619,sz000619,海螺型材
000620,sz000620,新华联
000622,sz000622,*ST恒立
000623,sz000623,吉林敖东
000625,sz000625,长安汽车
000626,sz000626,如意集团
000627,sz000627,天茂集团
000628,sz000628,高新发展
000629,sz000629,攀钢钒钛
000630,sz000630,铜陵有色
000631,sz000631,顺发恒业
000632,sz000632,三木集团
000633,sz000633,ST合金
000635,sz000635,英 力 特
000636,sz000636,风华高科
000637,sz000637,茂化实华
000638,sz000638,万方地产
000639,sz000639,西王食品
000650,sz000650,仁和药业
000651,sz000651,格力电器
000652,sz000652,泰达股份
000655,sz000655,金岭矿业
000656,sz000656,金科股份
000657,sz000657,*ST中钨
000659,sz000659,珠海中富
000661,sz000661,长春高新
000662,sz000662,*ST索芙
000663,sz000663,永安林业
000665,sz000665,湖北广电
000666,sz000666,经纬纺机
000667,sz000667,名流置业
000668,sz000668,荣丰控股
000669,sz000669,领先科技
000670,sz000670,S*ST天发
000671,sz000671,阳 光 城
000673,sz000673,ST当代
000676,sz000676,ST思达
000677,sz000677,*ST海龙
000678,sz000678,襄阳轴承
000679,sz000679,大连友谊
000680,sz000680,山推股份
000681,sz000681,*ST远东
000682,sz000682,东方电子
000683,sz000683,远兴能源
000685,sz000685,中山公用
000686,sz000686,东北证券
000687,sz000687,保定天鹅
000690,sz000690,宝新能源
000691,sz000691,亚太实业
000692,sz000692,惠天热电
000695,sz000695,滨海能源
000697,sz000697,炼石有色
000698,sz000698,沈阳化工
000700,sz000700,模塑科技
000701,sz000701,厦门信达
000702,sz000702,正虹科技
000703,sz000703,恒逸石化
000705,sz000705,浙江震元
000707,sz000707,双环科技
000708,sz000708,大冶特钢
000709,sz000709,河北钢铁
000710,sz000710,天兴仪表
000711,sz000711,天伦置业
000712,sz000712,锦龙股份
000713,sz000713,丰乐种业
000715,sz000715,中兴商业
000716,sz000716,南方食品
000717,sz000717,*ST韶钢
000718,sz000718,苏宁环球
000719,sz000719,大地传媒
000720,sz000720,*ST能山
000721,sz000721,西安饮食
000722,sz000722,湖南发展
000723,sz000723,美锦能源
000725,sz000725,京东方Ａ
000726,sz000726,鲁  泰Ａ
000727,sz000727,华东科技
000728,sz000728,国元证券
000729,sz000729,燕京啤酒
000731,sz000731,四川美丰
000732,sz000732,泰禾集团
000733,sz000733,振华科技
000735,sz000735,罗 牛 山
000736,sz000736,中房地产
000737,sz000737,南风化工
000738,sz000738,中航动控
000739,sz000739,普洛股份
000748,sz000748,长城信息
000750,sz000750,国海证券
000752,sz000752,西藏发展
000753,sz000753,漳州发展
000755,sz000755,山西三维
000756,sz000756,新华制药
000757,sz000757,*ST浩物
000758,sz000758,中色股份
000759,sz000759,中百集团
000760,sz000760,博盈投资
000761,sz000761,本钢板材
000762,sz000762,西藏矿业
000766,sz000766,通化金马
000767,sz000767,*ST漳电
000768,sz000768,中航飞机
000776,sz000776,广发证券
000777,sz000777,中核科技
000778,sz000778,新兴铸管
000779,sz000779,三毛派神
000780,sz000780,平庄能源
000782,sz000782,美达股份
000783,sz000783,长江证券
000785,sz000785,武汉中商
000786,sz000786,北新建材
000788,sz000788,西南合成
000789,sz000789,江西水泥
000790,sz000790,华神集团
000791,sz000791,甘肃电投
000792,sz000792,盐湖股份
000793,sz000793,华闻传媒
000795,sz000795,太原刚玉
000796,sz000796,易食股份
000797,sz000797,中国武夷
000798,sz000798,中水渔业
000799,sz000799,酒 鬼 酒
000800,sz000800,一汽轿车
000801,sz000801,四川九洲
000802,sz000802,北京旅游
000803,sz000803,金宇车城
000806,sz000806,*ST银河
000807,sz000807,云铝股份
000809,sz000809,铁岭新城
000810,sz000810,华润锦华
000811,sz000811,烟台冰轮
000812,sz000812,陕西金叶
000813,sz000813,天山纺织
000815,sz000815,*ST美利
000816,sz000816,江淮动力
000818,sz000818,方大化工
000819,sz000819,岳阳兴长
000821,sz000821,京山轻机
000822,sz000822,山东海化
000823,sz000823,超声电子
000825,sz000825,太钢不锈
000826,sz000826,桑德环境
000828,sz000828,东莞控股
000829,sz000829,天音控股
000830,sz000830,鲁西化工
000831,sz000831,*ST关铝
000833,sz000833,贵糖股份
000835,sz000835,四川圣达
000836,sz000836,鑫茂科技
000837,sz000837,秦川发展
000838,sz000838,*ST国兴
000839,sz000839,中信国安
000848,sz000848,承德露露
000850,sz000850,华茂股份
000851,sz000851,高鸿股份
000852,sz000852,江钻股份
000856,sz000856,冀东装备
000858,sz000858,五 粮 液
000859,sz000859,国风塑业
000860,sz000860,顺鑫农业
000861,sz000861,海印股份
000862,sz000862,银星能源
000863,sz000863,三湘股份
000868,sz000868,安凯客车
000869,sz000869,张  裕Ａ
000875,sz000875,吉电股份
000876,sz000876,新 希 望
000877,sz000877,天山股份
000878,sz000878,云南铜业
000880,sz000880,潍柴重机
000881,sz000881,大连国际
000882,sz000882,华联股份
000883,sz000883,湖北能源
000885,sz000885,同力水泥
000886,sz000886,海南高速
000887,sz000887,中鼎股份
000888,sz000888,峨眉山Ａ
000889,sz000889,渤海物流
000890,sz000890,法 尔 胜
000892,sz000892,*ST星美
000893,sz000893,东凌粮油
000895,sz000895,双汇发展
000897,sz000897,津滨发展
000898,sz000898,鞍钢股份
000899,sz000899,*ST赣能
000900,sz000900,现代投资
000901,sz000901,航天科技
000902,sz000902,中国服装
000903,sz000903,云内动力
000905,sz000905,厦门港务
000906,sz000906,物产中拓
000908,sz000908,ST天一
000909,sz000909,数源科技
000910,sz000910,大亚科技
000911,sz000911,南宁糖业
000912,sz000912,泸 天 化
000913,sz000913,钱江摩托
000915,sz000915,山大华特
000916,sz000916,华北高速
000917,sz000917,电广传媒
000918,sz000918,嘉凯城
000919,sz000919,金陵药业
000920,sz000920,南方汇通
000921,sz000921,ST 科 龙
000922,sz000922,佳电股份
000923,sz000923,河北宣工
000925,sz000925,众合机电
000926,sz000926,福星股份
000927,sz000927,一汽夏利
000928,sz000928,中钢吉炭
000929,sz000929,兰州黄河
000930,sz000930,中粮生化
000931,sz000931,中 关 村
000932,sz000932,华菱钢铁
000933,sz000933,神火股份
000935,sz000935,四川双马
000936,sz000936,华西股份
000937,sz000937,冀中能源
000938,sz000938,紫光股份
000939,sz000939,凯迪电力
000948,sz000948,南天信息
000949,sz000949,新乡化纤
000950,sz000950,建峰化工
000951,sz000951,中国重汽
000952,sz000952,广济药业
000953,sz000953,ST河化
000955,sz000955,ST欣龙
000957,sz000957,中通客车
000958,sz000958,ST东热
000959,sz000959,首钢股份
000960,sz000960,锡业股份
000961,sz000961,中南建设
000962,sz000962,东方钽业
000963,sz000963,华东医药
000965,sz000965,天保基建
000966,sz000966,长源电力
000967,sz000967,上风高科
000968,sz000968,煤 气 化
000969,sz000969,安泰科技
000970,sz000970,中科三环
000971,sz000971,ST迈亚
000972,sz000972,*ST中基
000973,sz000973,佛塑科技
000975,sz000975,科 学 城
000976,sz000976,春晖股份
000977,sz000977,浪潮信息
000978,sz000978,桂林旅游
000979,sz000979,中弘股份
000980,sz000980,金马股份
000981,sz000981,银亿股份
000982,sz000982,中银绒业
000983,sz000983,西山煤电
000985,sz000985,大庆华科
